SMILES,pIC50,mol,num_atoms,logP,formula
C#Cc1ccc(-c2nc(-c3cc[nH]c(=O)c3)c(-c3ccc(F)cc3)[nH]2)cc1,4.84,<rdkit.Chem.rdchem.Mol object at 0x7ff771e34190>,27,4.219400000000002,C22H14FN3O
COc1ccc(-c2nc3[nH]cc(Cl)c(NCC4CCNC4)c-3n2)cc1,4.86,<rdkit.Chem.rdchem.Mol object at 0x7ff771e34200>,25,3.259900000000001,C18H20ClN5O
NCCn1c(-c2ccncc2)nc2cc(C(N)=O)ccc21,4.87,<rdkit.Chem.rdchem.Mol object at 0x7ff771e34270>,21,1.1558999999999993,C15H15N5O
COc1ccc(F)c(-c2nc3[nH]cc(Cl)c(NCC4CCNCC4)c-3n2)c1,4.88,<rdkit.Chem.rdchem.Mol object at 0x7ff771e342e0>,27,3.789100000000002,C19H21ClFN5O
NC(=O)c1cnc(NC2CCC(N)CC2)c2nc(-c3ccc(Cl)cc3)cn12,4.89,<rdkit.Chem.rdchem.Mol object at 0x7ff771e34350>,27,2.830400000000001,C19H21ClN6O
CCCCN(C)c1ncc(NS(=O)(=O)c2ccccc2C)cc1C(=O)O,4.91,<rdkit.Chem.rdchem.Mol object at 0x7ff771e343c0>,26,3.125320000000001,C18H23N3O4S
CC(O)Cn1c(C2CCC(O)CC2)nc2cc(C(N)=O)ccc21,4.92,<rdkit.Chem.rdchem.Mol object at 0x7ff771e34430>,23,1.5345,C17H23N3O3
COc1ccc(-c2nc3[nH]cc(Cl)c(NCC4CCNCC4)c-3n2)c(F)c1,4.93,<rdkit.Chem.rdchem.Mol object at 0x7ff771e344a0>,27,3.789100000000002,C19H21ClFN5O
FC(F)(F)c1nc2cnc3[nH]ccc3c2n1C1CCCCC1,4.94,<rdkit.Chem.rdchem.Mol object at 0x7ff771e34510>,22,4.436600000000002,C15H15F3N4
O=C1NC(=O)C(c2ccccc2)=C1Nc1cccc(OCCNc2ccnc(F)c2)c1,4.96,<rdkit.Chem.rdchem.Mol object at 0x7ff771e34580>,31,3.191200000000001,C23H19FN4O3
O=C1Nc2ccc3c(oc4ccccc43)c2C1=NNc1ccncc1,4.96,<rdkit.Chem.rdchem.Mol object at 0x7ff771e345f0>,25,3.7493000000000007,C19H12N4O2
O=C1c2oc(-c3ccc(Cl)cc3)cc2Cc2cc(N3CCNCC3)ccc2N1Cc1ccccc1-c1cccnc1,4.96,<rdkit.Chem.rdchem.Mol object at 0x7ff771e34660>,41,6.822800000000006,C34H29ClN4O2
COc1ccc(-c2nc3[nH]cc(C(N)=O)c(NCC4CCN(C)CC4)c-3n2)cc1,4.99,<rdkit.Chem.rdchem.Mol object at 0x7ff771e346d0>,29,2.4377000000000004,C21H26N6O2
O=C1NC(=O)C(c2c[nH]c3ccccc23)=C1Nc1cccc(OC2CN(c3ccnc(F)c3)C2)c1,5.0,<rdkit.Chem.rdchem.Mol object at 0x7ff771e34740>,35,3.449200000000001,C26H20FN5O3
COc1ccc(-c2nc3[nH]cc(Cl)c(NCC4CCN(C)CC4)c-3n2)cc1OC,5.0,<rdkit.Chem.rdchem.Mol object at 0x7ff771e347b0>,29,4.000800000000003,C21H26ClN5O2
COc1ccc(-c2nc3[nH]cc(Cl)c(OCC4CCNCC4)c-3n2)cc1,5.0,<rdkit.Chem.rdchem.Mol object at 0x7ff771e34820>,26,3.616900000000002,C19H21ClN4O2
C=Cc1nc(NC(=O)Nc2ccc(N3CCNCC3)cc2)nn1C(=C)c1ccc(S(C)(=O)=O)cc1,5.0,<rdkit.Chem.rdchem.Mol object at 0x7ff771e34890>,35,2.8972000000000016,C24H27N7O3S
COc1ccccc1Nc1nc2c(-c3ccc(C(F)(F)F)cc3)cccn2n1,5.0,<rdkit.Chem.rdchem.Mol object at 0x7ff771e34900>,28,5.167300000000003,C20H15F3N4O
COc1ccccc1Nc1nc2c(-c3ccccc3)cccn2n1,5.0,<rdkit.Chem.rdchem.Mol object at 0x7ff771e34970>,24,4.148500000000003,C19H16N4O
CNC(=O)c1cccc(-c2cccn3nc(Nc4ccccc4OC)nc23)c1,5.0,<rdkit.Chem.rdchem.Mol object at 0x7ff771e349e0>,28,3.5081000000000016,C21H19N5O2
CNC(=O)c1ccc(-c2cccn3nc(Nc4ccccc4OC)nc23)cc1,5.0,<rdkit.Chem.rdchem.Mol object at 0x7ff771e34a50>,28,3.5081000000000016,C21H19N5O2
CS(=O)(=O)c1ccc(-c2ccc3nc(Nc4ccc(N5CCOCC5)cc4)nn3c2)cc1,5.0,<rdkit.Chem.rdchem.Mol object at 0x7ff771e34ac0>,32,3.3800000000000017,C23H23N5O3S
CS(=O)(=O)c1ccccc1Nc1nc2c(Nc3ccccc3S(C)(=O)=O)cccn2n1,5.0,<rdkit.Chem.rdchem.Mol object at 0x7ff771e34b30>,31,3.023500000000001,C20H19N5O4S2
c1ccc(-c2cccc3nc(Nc4ccc(OCCN5CCCC5)cc4)nn23)cc1,5.0,<rdkit.Chem.rdchem.Mol object at 0x7ff771e34ba0>,30,4.614500000000003,C24H25N5O
CN1CCN(c2nc3c(NCc4cccc([N+](=O)[O-])c4)cccn3n2)CC1,5.0,<rdkit.Chem.rdchem.Mol object at 0x7ff771e34c10>,27,2.0013999999999994,C18H21N7O2
O=[N+]([O-])c1cccc(CNc2cccn3nc(N4CCOCC4)nc23)c1,5.0,<rdkit.Chem.rdchem.Mol object at 0x7ff771e34c80>,26,2.0862,C17H18N6O3
NC1CCN(c2nc3c(NCc4cccnc4)cccn3n2)CC1,5.0,<rdkit.Chem.rdchem.Mol object at 0x7ff771e34cf0>,24,1.663899999999999,C17H21N7
c1cncc(CNc2cccn3nc(NCCN4CCOCC4)nc23)c1,5.0,<rdkit.Chem.rdchem.Mol object at 0x7ff771e34d60>,26,1.4804999999999997,C18H23N7O
CN1CCN(c2cccc(Nc3nc4c(-c5ccc(S(C)(=O)=O)cc5)cc(C(F)(F)F)cn4n3)c2)CC1,5.0,<rdkit.Chem.rdchem.Mol object at 0x7ff771e34dd0>,37,4.314000000000004,C25H25F3N6O2S
CN1CCN(c2ccc(Nc3nc4c(-c5ccc(S(C)(=O)=O)cc5)cc(C(F)(F)F)cn4n3)cc2)CC1,5.0,<rdkit.Chem.rdchem.Mol object at 0x7ff771e34e40>,37,4.314000000000003,C25H25F3N6O2S
c1ccc2c(c1)CCCN2c1nc2cccc(N3CCCc4ccccc43)n2n1,5.0,<rdkit.Chem.rdchem.Mol object at 0x7ff771e34eb0>,29,4.897900000000004,C24H23N5
COCc1ccccc1-c1cccc2nc(Nc3ccc4c(c3)CCNCC4)nn12,5.0,<rdkit.Chem.rdchem.Mol object at 0x7ff771e34f20>,30,3.9745000000000017,C24H25N5O
COc1ccc(C(F)(F)F)cc1-c1cccn2nc(Nc3cccc(C4CCN(C(=O)OC(C)(C)C)CC4)c3)nc12,5.0,<rdkit.Chem.rdchem.Mol object at 0x7ff771e34f90>,41,7.281800000000007,C30H32F3N5O3
CC(=O)Nc1ccc(Sc2cccn3nc(Nc4ccc(C5CCN(C(=O)OC(C)(C)C)CC5)cc4)nc23)cc1,5.0,<rdkit.Chem.rdchem.Mol object at 0x7ff771e35000>,40,6.697000000000005,C30H34N6O3S
COc1ccc(CNc2cccn3nc(Nc4cccc(N5CCN(C)CC5)c4)nc23)cc1,5.0,<rdkit.Chem.rdchem.Mol object at 0x7ff771e35070>,33,3.8454000000000015,C25H29N7O
COc1cccc(CNc2cccn3nc(Nc4ccc(OC)nc4)nc23)c1,5.0,<rdkit.Chem.rdchem.Mol object at 0x7ff771e350e0>,28,3.497200000000001,C20H20N6O2
CS(=O)(=O)c1ccc(-c2cccn3nc(NCCc4ccccn4)nc23)cc1,5.0,<rdkit.Chem.rdchem.Mol object at 0x7ff771e35150>,28,2.849400000000001,C20H19N5O2S
O=C1NC(=O)C(c2c[nH]c3ccccc23)=C1Nc1ccc(OCCNc2ccnc(F)c2)cc1,5.01,<rdkit.Chem.rdchem.Mol object at 0x7ff771e351c0>,34,3.672500000000001,C25H20FN5O3
COc1ccc(-c2nc3[nH]cc(Cl)c(NCC4CCN(C)CC4)c-3n2)cc1,5.02,<rdkit.Chem.rdchem.Mol object at 0x7ff771e35230>,27,3.992200000000003,C20H24ClN5O
COc1cccc(NC(=O)c2cnc(N3CCN(c4ccccc4OC)CC3)c([N+](=O)[O-])c2)c1,5.02,<rdkit.Chem.rdchem.Mol object at 0x7ff771e352a0>,34,3.5859000000000023,C24H25N5O5
O=c1[nH]c(CSc2nnc(NCC3CCCO3)s2)nc2sc(-c3ccccc3)cc12,5.05,<rdkit.Chem.rdchem.Mol object at 0x7ff771e35310>,30,4.386300000000003,C20H19N5O2S3
COc1cccc(NC(=O)c2cnc(Nc3cccc(OC)c3)c([N+](=O)[O-])c2)c1,5.07,<rdkit.Chem.rdchem.Mol object at 0x7ff771e35380>,29,4.002900000000002,C20H18N4O5
CC(=O)Nc1ccc(-c2ccnc(NCCCNC(=O)c3c(Cl)cccc3Cl)n2)cc1,5.09,<rdkit.Chem.rdchem.Mol object at 0x7ff771e353f0>,31,4.640800000000003,C22H21Cl2N5O2
c1ccc2c(c1)CCCC2Nc1ccnc(-n2cnc3ccncc32)n1,5.14,<rdkit.Chem.rdchem.Mol object at 0x7ff771e35460>,26,3.700000000000001,C20H18N6
CN(c1[nH]cnc2nccc1-2)C1CC(NS(=O)(=O)CC2CC2)C1,5.14,<rdkit.Chem.rdchem.Mol object at 0x7ff771e354d0>,23,1.2060999999999995,C15H21N5O2S
O=C(O)Cc1cnc(Nc2[nH]nc3ccc(-c4ncccc4Cl)cc23)s1,5.15,<rdkit.Chem.rdchem.Mol object at 0x7ff771e35540>,26,4.105500000000001,C17H12ClN5O2S
CC1CC(C)CN(c2ccc(Nc3ncc(C(F)(F)F)c(-c4cc5ccc(C#N)cc5o4)n3)cc2)C1,5.15,<rdkit.Chem.rdchem.Mol object at 0x7ff771e355b0>,36,7.006180000000006,C27H24F3N5O
O=c1[nH]c2cnc(-n3cnc4ccccc43)nc2n1C1CCOc2c(F)cccc21,5.16,<rdkit.Chem.rdchem.Mol object at 0x7ff771e35620>,30,2.969500000000002,C21H15FN6O2
Nc1ncc(-c2cnn(CC(=O)N3CCOCC3)c2)c2scc(-c3ccc(Oc4ccccc4)cc3)c12,5.16,<rdkit.Chem.rdchem.Mol object at 0x7ff771e35690>,37,5.060100000000005,C28H25N5O3S
Cc1ccccc1S(=O)(=O)Nc1cnc(N2CCCCC2)c(C(=O)O)c1,5.16,<rdkit.Chem.rdchem.Mol object at 0x7ff771e35700>,26,2.8793200000000008,C18H21N3O4S
Fc1cccc(C2CCCN2c2ccc3ncc(-c4ccccn4)n3n2)c1,5.17,<rdkit.Chem.rdchem.Mol object at 0x7ff771e35770>,27,4.271900000000003,C21H18FN5
O=c1cc(-c2nc(C3CCNCC3)[nH]c2-c2ccc(F)cc2)cc[nH]1,5.18,<rdkit.Chem.rdchem.Mol object at 0x7ff771e357e0>,25,3.038100000000001,C19H19FN4O
O=C(Nc1nc2cccc(-c3ccc(CN4CCCCC4)cc3)n2n1)C1CC1,5.19,<rdkit.Chem.rdchem.Mol object at 0x7ff771e35850>,28,3.7307000000000032,C22H25N5O
COc1ccc(C(F)(F)F)cc1-c1cccn2nc(Nc3ccc(C4CCN(C(=O)OC(C)(C)C)CC4)cc3)nc12,5.19,<rdkit.Chem.rdchem.Mol object at 0x7ff771e358c0>,41,7.281800000000007,C30H32F3N5O3
CN1CCN(c2cncc(Nc3nc4c(NCc5ccccc5N(C)S(C)(=O)=O)cccn4n3)n2)CC1,5.19,<rdkit.Chem.rdchem.Mol object at 0x7ff771e35930>,37,2.0226,C24H30N10O2S
CS(=O)(=O)c1ccc(-c2cccn3nc(NCc4ccccn4)nc23)cc1,5.19,<rdkit.Chem.rdchem.Mol object at 0x7ff771e359a0>,27,2.806900000000001,C19H17N5O2S
CC(=O)Nc1ccc(-c2nc(Nc3ccc(N4CCOCC4)cc3)ncc2F)cc1,5.19,<rdkit.Chem.rdchem.Mol object at 0x7ff771e35a10>,30,3.8213000000000026,C22H22FN5O2
O=C1NN(c2ccccc2)C(=O)C1=Cc1ccc(-c2ccccc2Cl)o1,5.22,<rdkit.Chem.rdchem.Mol object at 0x7ff771e35a80>,26,4.061400000000003,C20H13ClN2O3
Cc1nc2cnc3[nH]ccc3c2n1C1CCCCC1,5.22,<rdkit.Chem.rdchem.Mol object at 0x7ff771e35af0>,19,3.7262200000000014,C15H18N4
CC(C)c1ccc(-c2nc3cc(C(N)=O)ccc3n2CCN)cc1,5.23,<rdkit.Chem.rdchem.Mol object at 0x7ff771e35b60>,24,2.8843000000000005,C19H22N4O
c1cc2c(ncc3ncn(C4CCCCC4)c32)[nH]1,5.24,<rdkit.Chem.rdchem.Mol object at 0x7ff771e35bd0>,18,3.417800000000001,C14H16N4
Oc1ccc(C2Nc3ccccc3-c3ccnc4[nH]cc2c34)c(Cl)c1,5.25,<rdkit.Chem.rdchem.Mol object at 0x7ff771e35c40>,25,5.103800000000002,C20H14ClN3O
CN(c1[nH]cnc2nccc1-2)C1CC(NS(=O)(=O)c2cccc(C(C)(C)O)c2)C1,5.25,<rdkit.Chem.rdchem.Mol object at 0x7ff771e35cb0>,29,2.0826,C20H25N5O3S
OC1CCN(c2cc(-c3cnc4ccc(N5CCCC5c5cccc(F)c5)nn34)ccn2)CC1,5.25,<rdkit.Chem.rdchem.Mol object at 0x7ff771e35d20>,34,4.233000000000003,C26H27FN6O
CN1CCN(Cc2ccc(-c3cccc4nc(NC(=O)C5CC5)nn34)cc2)CC1,5.29,<rdkit.Chem.rdchem.Mol object at 0x7ff771e35d90>,29,2.4922000000000004,C22H26N6O
Oc1ccc(C2Nc3ccccc3-c3ccnc4[nH]cc2c34)cc1Br,5.3,<rdkit.Chem.rdchem.Mol object at 0x7ff771e35e00>,25,5.212900000000003,C20H14BrN3O
CN(C)c1cccc(Nc2nc(N)n(C(=O)c3c(F)cccc3F)n2)c1,5.3,<rdkit.Chem.rdchem.Mol object at 0x7ff771e35e70>,26,2.6366000000000005,C17H16F2N6O
COc1ccc(-c2nc3[nH]cc(Br)c(NCC4CCN(C)CC4)c-3n2)cc1,5.32,<rdkit.Chem.rdchem.Mol object at 0x7ff771e35ee0>,27,4.101300000000003,C20H24BrN5O
NCCn1c(-c2ccc(C(F)(F)F)cc2)nc2cc(C(N)=O)ccc21,5.32,<rdkit.Chem.rdchem.Mol object at 0x7ff771e35f50>,25,2.7797,C17H15F3N4O
NCCn1c(-c2cccnc2N)nc2cc(C(N)=O)ccc21,5.33,<rdkit.Chem.rdchem.Mol object at 0x7ff771e35fc0>,22,0.7381000000000004,C15H16N6O
N#Cc1ccc(-c2cnc3ccc(NCc4ccccc4)nn23)cc1,5.33,<rdkit.Chem.rdchem.Mol object at 0x7ff771e36030>,25,3.880080000000001,C20H15N5
CN(C(=O)NC1CCCN(S(C)(=O)=O)C1)c1cnc2[nH]ccc2n1,5.36,<rdkit.Chem.rdchem.Mol object at 0x7ff771e360a0>,24,0.5277000000000003,C14H20N6O3S
CCOP(=O)(CCn1cc(-c2ccc(-c3nc(-c4cc[nH]c(=O)c4)c(-c4ccc(F)cc4)[nH]3)cc2)nn1)OCC,5.38,<rdkit.Chem.rdchem.Mol object at 0x7ff771e36110>,40,5.762700000000006,C28H28FN6O4P
NCCn1c(C2CCCCC2)nc2cc(C(N)=O)ccc21,5.39,<rdkit.Chem.rdchem.Mol object at 0x7ff771e36180>,21,2.1415999999999995,C16H22N4O
CNCCn1c(C2CCC(O)CC2)nc2cc(C(N)=O)ccc21,5.41,<rdkit.Chem.rdchem.Mol object at 0x7ff771e361f0>,23,1.3730999999999995,C17H24N4O2
CC(C)N1CCC(S(=O)(=O)CC2CC(N(C)c3[nH]cnc4nccc3-4)C2)C1,5.42,<rdkit.Chem.rdchem.Mol object at 0x7ff771e36260>,27,2.0218,C19H29N5O2S
O=C1NC(=O)C(c2cn(CCCn3ccnc3)c3ccccc23)=C1Nc1ccccc1,5.42,<rdkit.Chem.rdchem.Mol object at 0x7ff771e362d0>,31,3.407700000000001,C24H21N5O2
O=C(CCc1nc2ccccc2c(=O)[nH]1)Nc1ncc(Cc2ccc(F)c(F)c2)s1,5.43,<rdkit.Chem.rdchem.Mol object at 0x7ff771e36340>,30,3.8199000000000014,C21H16F2N4O2S
O=C(O)c1cc(-c2nc(-c3cc[nH]c(=O)c3)c(-c3ccc(F)cc3)[nH]2)ccc1O,5.43,<rdkit.Chem.rdchem.Mol object at 0x7ff771e363b0>,29,3.641900000000001,C21H14FN3O4
O=c1[nH]c2cnc(-n3cnc4ccc(F)cc43)nc2n1C1CCOCC1,5.47,<rdkit.Chem.rdchem.Mol object at 0x7ff771e36420>,26,1.9491,C17H15FN6O2
CN(c1[nH]cnc2nccc1-2)C1CC(NS(=O)(=O)N2CCC(C#N)C2)C1,5.47,<rdkit.Chem.rdchem.Mol object at 0x7ff771e36490>,26,0.5565799999999999,C16H21N7O2S
O=c1[nH]c2cnc(-n3cnc4ccccc43)nc2n1C1CCOCC1,5.49,<rdkit.Chem.rdchem.Mol object at 0x7ff771e36500>,25,1.81,C17H16N6O2
NC(=O)c1ccc2c(c1)nc(C1CCC(O)CC1)n2CCO,5.5,<rdkit.Chem.rdchem.Mol object at 0x7ff771e36570>,22,1.146,C16H21N3O3
NCCn1c(C2CCNCC2)nc2cc(C(N)=O)ccc21,5.5,<rdkit.Chem.rdchem.Mol object at 0x7ff771e365e0>,21,0.5608999999999998,C15H21N5O
NC(=O)c1cc(-c2ccnc(N)n2)[nH]c1-c1ccccc1,5.5,<rdkit.Chem.rdchem.Mol object at 0x7ff771e36650>,21,1.8198,C15H13N5O
CNCCn1c(C2CCNCC2)nc2cc(C(N)=O)ccc21,5.51,<rdkit.Chem.rdchem.Mol object at 0x7ff771e366c0>,22,0.8215999999999994,C16H23N5O
Cc1ccc(OCC(C)C)c(-c2cccn3nc(Nc4ccc5c(c4)CCNCC5)nc23)c1,5.51,<rdkit.Chem.rdchem.Mol object at 0x7ff771e36730>,33,5.171320000000004,C27H31N5O
Cc1ccc(Cl)cc1-c1[nH]c(-c2ccnc(N)n2)cc1C(=O)N(C)C,5.51,<rdkit.Chem.rdchem.Mol object at 0x7ff771e367a0>,25,3.384520000000002,C18H18ClN5O
Cc1c(NC(=O)c2ccc(C(C)(C)C)cc2)cccc1-c1nc2ncnc-2c(Nc2ccc(C(=O)N3CCOCC3)cc2)[nH]1,5.51,<rdkit.Chem.rdchem.Mol object at 0x7ff771e36810>,44,6.0457200000000055,C34H35N7O3
COc1ccc(-c2nc3[nH]cc(Cl)c(NCC4CCCNC4)c-3n2)cc1,5.52,<rdkit.Chem.rdchem.Mol object at 0x7ff771e36880>,26,3.650000000000002,C19H22ClN5O
c1cc(-c2ccncc2)c2nc(Nc3ccc(OCCN4CCCC4)cc3)nn2c1,5.52,<rdkit.Chem.rdchem.Mol object at 0x7ff771e368f0>,30,4.009500000000002,C23H24N6O
COc1ccccc1Nc1nc2c(-c3cccc(C(F)(F)F)c3)cccn2n1,5.52,<rdkit.Chem.rdchem.Mol object at 0x7ff771e36960>,28,5.167300000000003,C20H15F3N4O
COc1cc(N2CCN(C)CC2)ccc1Nc1nc2c(NCc3cccnc3N(C)S(C)(=O)=O)cccn2n1,5.52,<rdkit.Chem.rdchem.Mol object at 0x7ff771e369d0>,39,2.6362000000000005,C26H33N9O3S
Cc1nn(C)c(C)c1Nc1nc2c(-c3ccc(S(C)(=O)=O)cc3)cccn2n1,5.52,<rdkit.Chem.rdchem.Mol object at 0x7ff771e36a40>,28,2.893740000000001,C19H20N6O2S
CS(=O)(=O)c1ccc(Oc2cccn3nc(Nc4cnn(CCN5CCCC5)c4)nc23)cc1,5.52,<rdkit.Chem.rdchem.Mol object at 0x7ff771e36ab0>,33,2.961000000000001,C22H25N7O3S
Oc1cccn2nc(Nc3ccc(C(F)(F)F)cc3)nc12,5.52,<rdkit.Chem.rdchem.Mol object at 0x7ff771e36b20>,21,3.197300000000001,C13H9F3N4O
COc1ccc(C(F)(F)F)cc1Nc1cccn2nc(Nc3cccc(N4CCN(C)CC4)c3)nc12,5.52,<rdkit.Chem.rdchem.Mol object at 0x7ff771e36b90>,36,4.995700000000004,C25H26F3N7O
CC(C)COc1ccc(C(F)(F)F)cc1-c1cccn2nc(Nc3ccc4c(c3)CCN(CC(=O)N(C)C)CC4)nc12,5.52,<rdkit.Chem.rdchem.Mol object at 0x7ff771e36c00>,42,5.682300000000006,C31H35F3N6O2
COc1ccc(CNc2cccn3nc(Nc4ccc(N5CCN(C)CC5)cc4)nc23)cc1,5.52,<rdkit.Chem.rdchem.Mol object at 0x7ff771e36c70>,33,3.8454000000000033,C25H29N7O
COc1cccc(CNc2cccn3nc(Nc4cccc(N5CCN(C)CC5)c4)nc23)c1,5.52,<rdkit.Chem.rdchem.Mol object at 0x7ff771e36ce0>,33,3.8454000000000033,C25H29N7O
CN1CCN(c2ccc(Nc3nc4ccc(-c5ccc(S(C)(=O)=O)cc5)cn4n3)cc2)CC1,5.53,<rdkit.Chem.rdchem.Mol object at 0x7ff771e36d50>,33,3.295200000000002,C24H26N6O2S
CN(C)Cc1ccc(-c2ccc3cnc(Nc4ccc(C5CCN(CC(N)=O)CC5)cc4)nn23)cc1,5.54,<rdkit.Chem.rdchem.Mol object at 0x7ff771e36dc0>,36,3.866200000000002,C28H33N7O
COc1ccc(-c2nc3[nH]cc(Cl)c(NCC4CCNCC4)c-3n2)c(C)c1,5.54,<rdkit.Chem.rdchem.Mol object at 0x7ff771e36e30>,27,3.958420000000002,C20H24ClN5O
NCCc1nc2cc(C(N)=O)ccc2n1CCN,5.54,<rdkit.Chem.rdchem.Mol object at 0x7ff771e36ea0>,18,-0.4048999999999993,C12H17N5O
CCn1nc(C#Cc2cc(C(=O)Nc3ccc(CN4CCN(C)CC4)c(C(F)(F)F)c3)ccc2C)c2c(N)ncnc21,5.54,<rdkit.Chem.rdchem.Mol object at 0x7ff771e36f10>,42,4.155120000000003,C30H31F3N8O
Cc1ccc(Cl)cc1-c1cn(-c2ncnn3cccc23)cc1C(N)=O,5.54,<rdkit.Chem.rdchem.Mol object at 0x7ff771e36f80>,25,3.247720000000001,C18H14ClN5O
COc1ccc(-c2cccn3nc(N)nc23)cn1,5.54,<rdkit.Chem.rdchem.Mol object at 0x7ff771e36ff0>,18,1.3820999999999997,C12H11N5O
NCCn1c(-c2ccccc2)nc2cc(C(N)=O)ccc21,5.55,<rdkit.Chem.rdchem.Mol object at 0x7ff771e37060>,21,1.7609,C16H16N4O
Cc1ccc(-c2cccn3nc(Nc4ccc5c(c4)CCNCC5)nc23)c(OCC(C)C)c1,5.55,<rdkit.Chem.rdchem.Mol object at 0x7ff771e370d0>,33,5.171320000000004,C27H31N5O
CN1CCC(CNc2c(Cl)c[nH]c3nc(-c4ccc(S(C)(=O)=O)cc4)nc2-3)CC1,5.56,<rdkit.Chem.rdchem.Mol object at 0x7ff771e37140>,29,3.387100000000002,C20H24ClN5O2S
CS(=O)(=O)c1ccc(-c2cccn3nc(NCc4cccnc4)nc23)cc1,5.56,<rdkit.Chem.rdchem.Mol object at 0x7ff771e371b0>,27,2.8069000000000006,C19H17N5O2S
COc1ccc(-c2nc3[nH]cc(Cl)c(NCC4CCN(C)CC4)c-3n2)c(C)c1,5.57,<rdkit.Chem.rdchem.Mol object at 0x7ff771e37220>,28,4.300620000000004,C21H26ClN5O
NCCn1c(Cc2ccccc2)nc2cc(C(N)=O)ccc21,5.57,<rdkit.Chem.rdchem.Mol object at 0x7ff771e37290>,22,1.6846999999999996,C17H18N4O
